,distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,gas_enc,snow
413,12.4,4.1,57,21.5,9,E10,0,0,0,1,0
414,18.4,5.7,21,22.5,2,E10,0,0,0,1,0
415,18.4,5.8,28,21.5,3,E10,0,0,0,1,0
416,18.3,5.5,29,21.5,1,E10,0,0,0,1,0
417,18.4,5.7,35,21.5,4,E10,0,0,0,1,0
418,12.3,5.3,51,21.5,11,E10,0,0,0,1,0
419,11.8,5.0,29,21.5,10,E10,0,0,0,1,0
420,12.3,5.6,58,21.5,8,E10,0,0,0,1,0
421,32.6,4.8,40,21.5,7,E10,0,0,0,1,0
422,19.0,4.3,36,21.5,7,E10,0,0,0,1,0
423,12.1,5.7,36,21.5,8,E10,0,0,0,1,0
424,20.0,5.2,37,21.5,4,E10,0,0,0,1,0
425,4.9,7.4,26,21.5,6,E10,0,0,0,1,0
426,11.8,4.8,23,21.5,9,E10,0,0,0,1,0
427,12.3,6.5,58,21.5,7,E10,0,0,0,1,0
428,12.4,4.0,55,21.5,7,E10,1,1,0,1,0
429,4.5,5.0,29,21.5,7,E10,1,0,0,1,0
430,11.7,4.6,37,21.5,6,E10,0,0,0,1,0
431,10.2,4.3,44,21.5,7,E10,0,0,0,1,0
432,5.4,3.3,32,21.5,7,SP98,0,0,0,0,0
